Iteration,x1,x2,x3,x4,x5,x6,Objective Value
1,0.09,0.09,0.09,0.09,0.09,0.09,1.34076
2,0.16,0.16,0.16,0.16,0.16,0.16,2.38357
3,0.126754,0.19,0.24,0.19,0.129128,0.118954,2.5916
4,0.103879,0.19,0.24,0.19,0.180583,0.09,2.5942
5,0.129069,0.19,0.24,0.19,0.111528,0.139282,2.59967
6,0.166266,0.19,0.24,0.19,0.106797,0.10494,2.59989
7,0.151628,0.19,0.24,0.19,0.1093,0.118947,2.6021
8,0.154219,0.19,0.24,0.19,0.121839,0.103262,2.6028
9,0.19,0.19,0.24,0.19,0.0999282,0.09,2.60569
10,0.19,0.19,0.24,0.19,0.0999282,0.09,2.60569
11,0.19,0.19,0.24,0.19,0.0999621,0.09,2.60576
12,0.19,0.19,0.24,0.19,0.0999867,0.09,2.60581
13,0.19,0.19,0.24,0.19,0.0999867,0.09,2.60581
14,0.19,0.19,0.24,0.19,0.0999867,0.09,2.60581
15,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
16,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
17,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
18,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
19,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
20,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
21,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
22,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
23,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
24,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
25,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
26,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
27,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
28,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
29,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
30,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
31,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
32,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
33,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
34,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
35,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
36,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
37,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
38,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
39,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
40,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
41,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
42,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
43,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
44,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
45,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
46,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
47,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
48,0.188025,0.19,0.24,0.19,0.101974,0.09,2.60583
49,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
50,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
51,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
52,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
53,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
54,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
55,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
56,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
57,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
58,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
59,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
60,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
61,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
62,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
63,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
64,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
65,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
66,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
67,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
68,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
69,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
70,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
71,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
72,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
73,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
74,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
75,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
76,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
77,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
78,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
79,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
80,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
81,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
82,0.189559,0.19,0.24,0.19,0.10044,0.09,2.60583
83,0.189559,0.19,0.24,0.19,0.10044,0.09,2.60583
84,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
85,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
86,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
87,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
88,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
89,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
90,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
91,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
92,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
93,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
